Дата,день недели,6 А,6 А,6 Б,6 Б,6 В,6 В,7 А,7 А,7 Б,7 Б,7 В,7 В,7 Г,7 Г,7 Д,7 Д,8 А,8 А,8 Б,8 Б,8 В,8 В,8 Г,8 Г,8 Д,8 Д,9 А,9 А,9 Б,9 Б,9 В,9 В,9 Г,9 Г,9 Д,9 Д,10 А,10 А,10 Б,10 Б,10 В,10 В,10 Г,10 Г,10 Д,10 Д,11 А,11 А,11 Б,11 Б,11 В,11 В,11 Г,11 Г,11 Д,11 Д
2023-08-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),консультация по физике (вступительные в 10-ый),,,,,,,,,,,,,,,,,,,,
2023-08-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,Экзамен матпрофиль в 11:00,,,,,,,,,,,,,,,,,,,,
2023-08-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),Экзамен по физике (вступительные в 10-ый),,,,,,,,,,,,,,,,,,,,
2023-08-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,Экзамен по инфоматике (вступительные в 10-ый)Экзамен по экономике в 11:00,,,,,,,,,,,,,,,,,,,,
2023-08-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-01,пятница,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09-02,суббота,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
